id_anssi,titre_anssi,type_bulletin,date_publication,cve,cvss_score,base_severity,cwe,cwe_desc,epss_score,lien_anssi,description,editeur,produit,versions_affectees
CERTFR-2026-AVI-0632,Multiples vulnérabilités dans les produits Mattermost (22 mai 2026),Avis,"Fri, 22 May 2026 00:00:00 +0000",CVE-2026-6517,6.3,MEDIUM,CWE-522,CWE-522: Insufficiently Protected Credentials,0.00186,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0632/,Mattermost Desktop App versions <=6.1 5.5.13.0 fail to restrict the allow list of domains to which NTLM credentials were forwarded to in the Mattermost Desktop App which allows any user on a server without the image proxy enabled to intercept other users credentials via embedding an image that routes to an external web server. Mattermost Advisory ID: MMSA-2026-00651,Mattermost,Mattermost,0
CERTFR-2026-AVI-0716,Multiples vulnérabilités dans FreeBSD (10 juin 2026),Avis,"Wed, 10 Jun 2026 00:00:00 +0000",CVE-2026-45257,,Non disponible,Non disponible,Non disponible,,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0716/,Non disponible,,,
CERTFR-2026-AVI-0716,Multiples vulnérabilités dans FreeBSD (10 juin 2026),Avis,"Wed, 10 Jun 2026 00:00:00 +0000",CVE-2026-49413,,Non disponible,Non disponible,Non disponible,,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0716/,Non disponible,,,
CERTFR-2026-AVI-0733,Multiples vulnérabilités dans GitLab (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-10087,8.7,HIGH,CWE-79,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),0.00427,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0733/,"GitLab has remediated an issue in GitLab EE affecting all versions from 17.1 before 18.10.8, 18.11 before 18.11.5, and 19.0 before 19.0.2 that under certain conditions could have allowed an authenticated user with developer-role permissions to execute arbitrary client-side code on behalf of a targeted user due to improper input sanitization in the Analytics Dashboard.",GitLab,GitLab,"17.1, 18.11, 19.0"
CERTFR-2026-AVI-0733,Multiples vulnérabilités dans GitLab (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-10733,4.3,MEDIUM,CWE-1021,CWE-1021: Improper Restriction of Rendered UI Layers or Frames,0.00352,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0733/,"GitLab has remediated an issue in GitLab CE/EE affecting all versions from 17.0 before 18.10.8, 18.11 before 18.11.5, and 19.0 before 19.0.2 that could have allowed an authenticated user to cause denial of service on the CI/CD Catalog page due to improper sanitization.",GitLab,GitLab,"17.0, 18.11, 19.0"
CERTFR-2026-AVI-0733,Multiples vulnérabilités dans GitLab (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-1500,6.5,MEDIUM,CWE-770,CWE-770: Allocation of Resources Without Limits or Throttling,0.00545,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0733/,"GitLab has remediated an issue in GitLab CE/EE affecting all versions from 17.10 before 18.10.8, 18.11 before 18.11.5, and 19.0 before 19.0.2 that under certain conditions could have allowed an authenticated user to cause denial of service due to uncontrolled resource consumption when processing a specially crafted file upload.",GitLab,GitLab,"17.10, 18.11, 19.0"
CERTFR-2026-AVI-0733,Multiples vulnérabilités dans GitLab (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-3553,3.1,LOW,CWE-863,CWE-863: Incorrect Authorization,0.00308,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0733/,"GitLab has remediated an issue in GitLab CE/EE affecting all versions from 12.0 before 18.10.8, 18.11 before 18.11.5, and 19.0 before 19.0.2 that under certain conditions could have allowed an authenticated user to access confidential issue details due to incorrect authorization checks.",GitLab,GitLab,"12.0, 18.11, 19.0"
CERTFR-2026-AVI-0733,Multiples vulnérabilités dans GitLab (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-6269,5.4,MEDIUM,CWE-863,CWE-863: Incorrect Authorization,0.00302,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0733/,"GitLab has remediated an issue in GitLab CE/EE affecting all versions from 15.10 before 18.10.8, 18.11 before 18.11.5, and 19.0 before 19.0.2 that under certain conditions could have allowed an authenticated user with developer-role permissions to modify hidden merge requests due to incorrect authorization enforcements.",GitLab,GitLab,"15.10, 18.11, 19.0"
CERTFR-2026-AVI-0733,Multiples vulnérabilités dans GitLab (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-6277,4.3,MEDIUM,CWE-863,CWE-863: Incorrect Authorization,0.00311,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0733/,"GitLab has remediated an issue in GitLab EE affecting all versions from 13.9 before 18.10.8, 18.11 before 18.11.5, and 19.0 before 19.0.2 that under certain conditions could have allowed an authenticated user with Security Manager-role permissions to manage project security configuration even when the relevant feature was in a disabled state, due to incorrect authorization enforcement.",GitLab,GitLab,"13.9, 18.11, 19.0"
CERTFR-2026-AVI-0733,Multiples vulnérabilités dans GitLab (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-6552,8.7,HIGH,CWE-639,CWE-639: Authorization Bypass Through User-Controlled Key,0.00469,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0733/,"GitLab has remediated an issue in GitLab EE affecting all versions from 15.5 before 18.10.8, 18.11 before 18.11.5, and 19.0 before 19.0.2 that under certain conditions could have allowed an authenticated user with group Owner role to take over another group member's GitLab account due to improper authorization in the Group SAML identity management functionality.",GitLab,GitLab,"15.5, 18.11, 19.0"
CERTFR-2026-AVI-0733,Multiples vulnérabilités dans GitLab (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-6976,3.7,LOW,CWE-639,CWE-639: Authorization Bypass Through User-Controlled Key,0.00247,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0733/,"GitLab has remediated an issue in GitLab CE/EE affecting all versions from 15.9 before 18.10.8, 18.11 before 18.11.5, and 19.0 before 19.0.2 that under certain conditions could have allowed an authenticated user with developer-role permissions to hide changes from merge request diff views due to improper input handling of file names.",GitLab,GitLab,"15.9, 18.11, 19.0"
CERTFR-2026-AVI-0733,Multiples vulnérabilités dans GitLab (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-7250,7.5,HIGH,CWE-770,CWE-770: Allocation of Resources Without Limits or Throttling,0.00635,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0733/,"GitLab has remediated an issue in GitLab CE/EE affecting all versions from 12.10 before 18.10.8, 18.11 before 18.11.5, and 19.0 before 19.0.2 that under certain conditions could have allowed an unauthenticated user to cause denial of service due to improper input validation in the API request parsing middleware.",GitLab,GitLab,"12.10, 18.11, 19.0"
CERTFR-2026-AVI-0733,Multiples vulnérabilités dans GitLab (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-8589,7.3,HIGH,CWE-79,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),0.00429,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0733/,"GitLab has remediated an issue in GitLab EE affecting all versions from 13.1.4 before 18.10.8, 18.11 before 18.11.5, and 19.0 before 19.0.2 that under certain conditions could have allowed an authenticated user to add unauthorized email addresses to a targeted user's account due to improper sanitization of user-supplied input in certain group setting fields.",GitLab,GitLab,"13.1.4, 18.11, 19.0"
CERTFR-2026-AVI-0733,Multiples vulnérabilités dans GitLab (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-9204,5.3,MEDIUM,CWE-918,CWE-918: Server-Side Request Forgery (SSRF),0.00341,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0733/,"GitLab has remediated an issue in GitLab CE/EE affecting all versions from 18.10 before 18.10.8, 18.11 before 18.11.5, and 19.0 before 19.0.2 that under certain conditions could have allowed an authenticated user to read arbitrary files from the Gitaly server and access internal network resources during repository import, due to insufficient validation of secondary URLs.",GitLab,GitLab,"18.10, 18.11, 19.0"
CERTFR-2026-AVI-0733,Multiples vulnérabilités dans GitLab (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-9694,2.6,LOW,CWE-153,CWE-153: Improper Neutralization of Substitution Characters,0.00344,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0733/,"GitLab has remediated an issue in GitLab CE/EE affecting all versions from 15.9 before 18.10.8, 18.11 before 18.11.5, and 19.0 before 19.0.2 that under certain conditions, could have allowed an unauthenticated user to impersonate the GitLab Support Bot and inject arbitrary content via a specially crafted Service Desk email reply due to improper neutralization in email template processing.",GitLab,GitLab,"15.9, 18.11, 19.0"
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-0266,1.1,LOW,CWE-79,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),0.00213,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,"A cross-site scripting (XSS) vulnerability in Palo Alto Networks PAN-OS® software enables a malicious authenticated administrator to store a JavaScript payload using the web interface. 

This issue is applicable to PAN-OS software on PA-Series and VM-Series firewalls and on Panorama (virtual and M-Series).

Cloud NGFW and Prisma® Access are not affected by this vulnerability.",Palo Alto Networks,Cloud NGFW,
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-0266,1.1,LOW,CWE-79,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),0.00213,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,"A cross-site scripting (XSS) vulnerability in Palo Alto Networks PAN-OS® software enables a malicious authenticated administrator to store a JavaScript payload using the web interface. 

This issue is applicable to PAN-OS software on PA-Series and VM-Series firewalls and on Panorama (virtual and M-Series).

Cloud NGFW and Prisma® Access are not affected by this vulnerability.",Palo Alto Networks,PAN-OS,"12.1.0, 11.2.0, 11.1.0, 10.2.0"
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-0266,1.1,LOW,CWE-79,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),0.00213,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,"A cross-site scripting (XSS) vulnerability in Palo Alto Networks PAN-OS® software enables a malicious authenticated administrator to store a JavaScript payload using the web interface. 

This issue is applicable to PAN-OS software on PA-Series and VM-Series firewalls and on Panorama (virtual and M-Series).

Cloud NGFW and Prisma® Access are not affected by this vulnerability.",Palo Alto Networks,Prisma Access,
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-0267,4.4,MEDIUM,CWE-532,CWE-532 Insertion of Sensitive Information into Log File,0.0011,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,"An information exposure vulnerability in the Palo Alto Networks GlobalProtect app on macOS enables a local user to learn the configured passcodes for disabling, disconnecting, or uninstalling the GlobalProtect app. After the passcode is known, the user can perform these actions even if the GlobalProtect app configuration would not normally permit them to do so.",Palo Alto Networks,GlobalProtect App,"6.3.0, 6.2.0"
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-0267,4.4,MEDIUM,CWE-532,CWE-532 Insertion of Sensitive Information into Log File,0.0011,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,"An information exposure vulnerability in the Palo Alto Networks GlobalProtect app on macOS enables a local user to learn the configured passcodes for disabling, disconnecting, or uninstalling the GlobalProtect app. After the passcode is known, the user can perform these actions even if the GlobalProtect app configuration would not normally permit them to do so.",Palo Alto Networks,GlobalProtect App,
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-0267,4.4,MEDIUM,CWE-532,CWE-532 Insertion of Sensitive Information into Log File,0.0011,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,"An information exposure vulnerability in the Palo Alto Networks GlobalProtect app on macOS enables a local user to learn the configured passcodes for disabling, disconnecting, or uninstalling the GlobalProtect app. After the passcode is known, the user can perform these actions even if the GlobalProtect app configuration would not normally permit them to do so.",Palo Alto Networks,GlobalProtect UWP App,
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-0268,4.4,MEDIUM,CWE-424,CWE-424 Improper Protection of Alternate Path,0.00115,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,"A security control bypass vulnerability in Prisma Access Agent for Linux allows a local attacker to route network traffic outside the VPN tunnel.



This does not impact Prisma Access Agent on Windows, macOS, iOS, Android, or ChromeOS.",Palo Alto Networks,Prisma Access Agent,0
